"anio","pais","iso3","pib_per_capita_ppa_porcentaje_eeuu"
1909,"Australia","AUS",81.0359690045647
1910,"Australia","AUS",86.1802142865824
1911,"Australia","AUS",83.5670966382138
1912,"Australia","AUS",81.4508633802121
1913,"Australia","AUS",81.3219714954312
1914,"Australia","AUS",88.0900651532801
1915,"Australia","AUS",85.1795004884086
1916,"Australia","AUS",76.0590561968774
1917,"Australia","AUS",78.1752382282372
1918,"Australia","AUS",70.058120281305
1919,"Australia","AUS",71.934526905259
1920,"Australia","AUS",74.8257120199651
1921,"Australia","AUS",80.9105601878475
1922,"Australia","AUS",80.6416543986865
1923,"Australia","AUS",74.7522208344508
1924,"Australia","AUS",77.6060280590819
1925,"Australia","AUS",79.3827889831941
1926,"Australia","AUS",76.263539668661
1927,"Australia","AUS",76.6276023195224
1928,"Australia","AUS",75.8881116703922
1929,"Australia","AUS",70.1759648975148
1930,"Australia","AUS",70.163745457251
1931,"Australia","AUS",69.8824446801411
1932,"Australia","AUS",86.8086176321714
1933,"Australia","AUS",95.8969271399544
1934,"Australia","AUS",93.0646650663063
1935,"Australia","AUS",87.5647277351539
1936,"Australia","AUS",83.1944523469998
1937,"Australia","AUS",81.0882670630648
1938,"Australia","AUS",89.1305429155376
1939,"Australia","AUS",83.4090613124264
1940,"Australia","AUS",81.865240269932
1941,"Australia","AUS",79.8323570011653
1942,"Australia","AUS",80.451322826434
1943,"Australia","AUS",76.4974061198225
1944,"Australia","AUS",69.0321439449609
1945,"Australia","AUS",66.9152805966904
1946,"Australia","AUS",70.9193710644531
1947,"Australia","AUS",74.2197881002413
1948,"Australia","AUS",75.3687053831025
1949,"Australia","AUS",81.2584808608665
1950,"Australia","AUS",77.5262467191601
1951,"Australia","AUS",74.2077519379845
1952,"Australia","AUS",71.9046460715154
1953,"Australia","AUS",70.7158479635869
1954,"Australia","AUS",75.2119670542636
1955,"Australia","AUS",73.6614853195164
1956,"Australia","AUS",74.2886704604242
1957,"Australia","AUS",74.0836493163277
1958,"Australia","AUS",78.1187300837956
1959,"Australia","AUS",76.8324022346369
1960,"Australia","AUS",77.6042531982057
1961,"Australia","AUS",75.8899587345255
1962,"Australia","AUS",75.8273608768971
1963,"Australia","AUS",76.780772778518
1964,"Australia","AUS",77.1070726915521
1965,"Australia","AUS",75.6521739130435
1966,"Australia","AUS",72.4577211593946
1967,"Australia","AUS",74.8971193415638
1968,"Australia","AUS",75.0073867713478
1969,"Australia","AUS",76.1644967968589
1970,"Australia","AUS",79.9983304115536
1971,"Australia","AUS",80.3066327785521
1972,"Australia","AUS",77.799637994806
1973,"Australia","AUS",77.1633711750996
1974,"Australia","AUS",78.7415354180933
1975,"Australia","AUS",80.8791801510248
1976,"Australia","AUS",79.8765614605662
1977,"Australia","AUS",77.1115317310096
1978,"Australia","AUS",74.9436590862528
1979,"Australia","AUS",76.216234264917
1980,"Australia","AUS",77.5792779710243
1981,"Australia","AUS",77.7482033537397
1982,"Australia","AUS",78.6442998972954
1983,"Australia","AUS",75.2602957755819
1984,"Australia","AUS",74.850355405911
1985,"Australia","AUS",75.4837537473882
1986,"Australia","AUS",74.1979320531758
1987,"Australia","AUS",74.7797293406277
1988,"Australia","AUS",74.4555670189332
1989,"Australia","AUS",74.5646969202307
1990,"Australia","AUS",74.0170893948407
1991,"Australia","AUS",73.6652757950055
1992,"Australia","AUS",74.0063291440012
1993,"Australia","AUS",75.7979664534722
1994,"Australia","AUS",76.9035380628932
1995,"Australia","AUS",77.912097426887
1996,"Australia","AUS",78.540730183879
1997,"Australia","AUS",78.7533336696613
1998,"Australia","AUS",79.7189244656213
1999,"Australia","AUS",79.7539937005774
2000,"Australia","AUS",79.7687087249597
2001,"Australia","AUS",81.2502371753318
2002,"Australia","AUS",83.3588787372098
2003,"Australia","AUS",83.8111437311974
2004,"Australia","AUS",84.3172496047482
2005,"Australia","AUS",84.3915964311197
2006,"Australia","AUS",84.4743596286589
2007,"Australia","AUS",86.5070225340878
2008,"Australia","AUS",88.3560040518181
2009,"Australia","AUS",92.2266995035606
2010,"Australia","AUS",92.1515434937636
2011,"Australia","AUS",92.8676396577755
2012,"Australia","AUS",93.2630868754217
2013,"Australia","AUS",92.8966046045259
2014,"Australia","AUS",92.6505884174667
2015,"Australia","AUS",91.9491928276701
2016,"Australia","AUS",92.1343016127511
2017,"Australia","AUS",91.2194924785856
2018,"Australia","AUS",90.0533730196512
2019,"Australia","AUS",88.843764285231
2020,"Australia","AUS",90.05161115523
2021,"Australia","AUS",89.2173709610519
2022,"Australia","AUS",89.2532052235328
1900,"Austria","AUT",57.1565698851912
1901,"Austria","AUT",52.0502959330122
1902,"Austria","AUT",54.0520124529204
1903,"Austria","AUT",52.4305731082159
1904,"Austria","AUT",54.388109300339
1905,"Austria","AUT",53.9943069718326
1906,"Austria","AUT",50.7208696078064
1907,"Austria","AUT",53.4744633057248
1908,"Austria","AUT",58.9573764087948
1909,"Austria","AUT",53.295948380584
1910,"Austria","AUT",54.4165013508534
1911,"Austria","AUT",55.0951212349285
1912,"Austria","AUT",56.0012273818909
1913,"Austria","AUT",54.6400545704704
1914,"Austria","AUT",50.393717541824
1915,"Austria","AUT",46.1470801390571
1916,"Austria","AUT",40.9789564512822
1917,"Austria","AUT",42.1943606097674
1918,"Austria","AUT",38.8967726152883
1919,"Austria","AUT",34.4600547273962
1920,"Austria","AUT",37.8708520095782
1921,"Austria","AUT",43.6594540410664
1922,"Austria","AUT",45.8154889831983
1923,"Austria","AUT",40.916814932342
1924,"Austria","AUT",45.3143709871327
1925,"Austria","AUT",48.1355133287541
1926,"Austria","AUT",46.7042278281567
1927,"Austria","AUT",48.4461258525712
1928,"Austria","AUT",50.9035446405887
1929,"Austria","AUT",49.3214315217245
1930,"Austria","AUT",53.4456248712216
1931,"Austria","AUT",52.7743361049884
1932,"Austria","AUT",55.9154889655471
1933,"Austria","AUT",56.1117547245444
1934,"Austria","AUT",52.4512729223194
1935,"Austria","AUT",47.8677537247497
1936,"Austria","AUT",45.1740577234505
1937,"Austria","AUT",44.541442471261
1938,"Austria","AUT",53.8944329524456
1939,"Austria","AUT",58.4436318210809
1940,"Austria","AUT",52.5693458835512
1941,"Austria","AUT",49.596405153589
1942,"Austria","AUT",42.6971034544035
1943,"Austria","AUT",40.3732848718399
1944,"Austria","AUT",38.9309525886452
1945,"Austria","AUT",16.6893725413476
1946,"Austria","AUT",21.0356353671009
1947,"Austria","AUT",24.127370392594
1948,"Austria","AUT",29.9031531668572
1949,"Austria","AUT",36.9734540602192
1950,"Austria","AUT",38.759842519685
1951,"Austria","AUT",39.137984496124
1952,"Austria","AUT",38.4517149112138
1953,"Austria","AUT",38.9785422947331
1954,"Austria","AUT",43.9740794573643
1955,"Austria","AUT",46.3672999424295
1956,"Austria","AUT",49.4510547795597
1957,"Austria","AUT",52.3440193036884
1958,"Austria","AUT",55.5647350407176
1959,"Austria","AUT",53.8826815642458
1960,"Austria","AUT",57.5455502021377
1961,"Austria","AUT",59.8734525447043
1962,"Austria","AUT",58.3790050590219
1963,"Austria","AUT",58.6963205903454
1964,"Austria","AUT",59.2436149312377
1965,"Austria","AUT",57.6344086021505
1966,"Austria","AUT",57.3926938612455
1967,"Austria","AUT",57.897732247614
1968,"Austria","AUT",58.0051496348824
1969,"Austria","AUT",60.1570572432321
1970,"Austria","AUT",64.8509892311545
1971,"Austria","AUT",66.6516356481102
1972,"Austria","AUT",67.5572519083969
1973,"Austria","AUT",67.3182467483648
1974,"Austria","AUT",70.6954272236171
1975,"Austria","AUT",71.5210355987055
1976,"Austria","AUT",71.8752309852909
1977,"Austria","AUT",72.6759758580051
1978,"Austria","AUT",69.2924947073687
1979,"Austria","AUT",71.5750108517814
1980,"Austria","AUT",74.067069670055
1981,"Austria","AUT",72.7508650519031
1982,"Austria","AUT",76.1862375898665
1983,"Austria","AUT",76.0793156044831
1984,"Austria","AUT",71.754582865694
1985,"Austria","AUT",71.2049177845744
1986,"Austria","AUT",71.0162481536189
1987,"Austria","AUT",70.2821767923985
1988,"Austria","AUT",70.022028274266
1989,"Austria","AUT",70.9489607138971
1990,"Austria","AUT",72.8192093450868
1991,"Austria","AUT",75.937372319843
1992,"Austria","AUT",75.3818875644405
1993,"Austria","AUT",74.4176011717558
1994,"Austria","AUT",74.1633023766663
1995,"Austria","AUT",75.1998264111528
1996,"Austria","AUT",75.2563384511804
1997,"Austria","AUT",74.7148936733811
1998,"Austria","AUT",75.1666041381288
1999,"Austria","AUT",75.3957525920314
2000,"Austria","AUT",75.8311962212294
2001,"Austria","AUT",76.8826385543686
2002,"Austria","AUT",77.4291234773224
2003,"Austria","AUT",76.4729719367925
2004,"Austria","AUT",76.2116755721689
2005,"Austria","AUT",75.8089679008832
2006,"Austria","AUT",76.9795149401766
2007,"Austria","AUT",79.1825006014211
2008,"Austria","AUT",81.4802292096549
2009,"Austria","AUT",81.4474049410996
2010,"Austria","AUT",81.7756674815654
2011,"Austria","AUT",83.434323100151
2012,"Austria","AUT",82.4800571496607
2013,"Austria","AUT",81.34596858227
2014,"Austria","AUT",80.01316196965
2015,"Austria","AUT",78.5191382555951
2016,"Austria","AUT",78.1759879279449
2017,"Austria","AUT",78.095005130153
2018,"Austria","AUT",77.6873105493901
2019,"Austria","AUT",77.6817770776562
2020,"Austria","AUT",74.9961259518914
2021,"Austria","AUT",73.5953561689449
2022,"Austria","AUT",75.5038147041493
1900,"Bélgica","BEL",73.9900133015307
1901,"Bélgica","BEL",67.5912714766476
1902,"Bélgica","BEL",68.6301649380924
1903,"Bélgica","BEL",67.2493677687078
1904,"Bélgica","BEL",70.3051726970214
1905,"Bélgica","BEL",67.8409688409544
1906,"Bélgica","BEL",62.5644231195463
1907,"Bélgica","BEL",62.9915309152947
1908,"Bélgica","BEL",69.8419865281056
1909,"Bélgica","BEL",64.6042422920522
1910,"Bélgica","BEL",67.2216048342541
1911,"Bélgica","BEL",67.9136729316457
1912,"Bélgica","BEL",67.1974634630743
1913,"Bélgica","BEL",66.5514479622586
1914,"Bélgica","BEL",68.7416919260527
1915,"Bélgica","BEL",67.1091375869476
1916,"Bélgica","BEL",63.6156967779156
1917,"Bélgica","BEL",57.4158584813647
1918,"Bélgica","BEL",43.5475774921961
1919,"Bélgica","BEL",51.6948668806983
1920,"Bélgica","BEL",62.1988115579939
1921,"Bélgica","BEL",66.8225308654106
1922,"Bélgica","BEL",70.2717290684292
1923,"Bélgica","BEL",65.2681908832457
1924,"Bélgica","BEL",66.4437018460675
1925,"Bélgica","BEL",66.7098841325271
1926,"Bélgica","BEL",65.4717723193976
1927,"Bélgica","BEL",68.0430910265127
1928,"Bélgica","BEL",71.5304398955331
1929,"Bélgica","BEL",67.3903413058027
1930,"Bélgica","BEL",74.2030229142783
1931,"Bélgica","BEL",78.0085445154256
1932,"Bélgica","BEL",87.6200246423415
1933,"Bélgica","BEL",92.7036762621404
1934,"Bélgica","BEL",85.045827696968
1935,"Bélgica","BEL",80.5818616328814
1936,"Bélgica","BEL",74.1009731948766
1937,"Bélgica","BEL",70.0126668779034
1938,"Bélgica","BEL",73.1702666313655
1939,"Bélgica","BEL",73.4819686964701
1940,"Bélgica","BEL",60.5742803462501
1941,"Bélgica","BEL",51.2565049988074
1942,"Bélgica","BEL",42.8450537262569
1943,"Bélgica","BEL",38.8032126823794
1944,"Bélgica","BEL",38.5544670997251
1945,"Bélgica","BEL",41.9176349611229
1946,"Bélgica","BEL",49.1888445995936
1947,"Bélgica","BEL",53.4603275047021
1948,"Bélgica","BEL",54.3496256378104
1949,"Bélgica","BEL",58.309440409696
1950,"Bélgica","BEL",57.1259842519685
1951,"Bélgica","BEL",56.8124031007752
1952,"Bélgica","BEL",54.9440525419606
1953,"Bélgica","BEL",54.8205946680854
1954,"Bélgica","BEL",58.2000968992248
1955,"Bélgica","BEL",57.6280944156592
1956,"Bélgica","BEL",58.8434787607059
1957,"Bélgica","BEL",59.4794898310927
1958,"Bélgica","BEL",60.5924701994571
1959,"Bélgica","BEL",58.8435754189944
1960,"Bélgica","BEL",61.3667829650551
1961,"Bélgica","BEL",63.6093535075653
1962,"Bélgica","BEL",63.6962478920742
1963,"Bélgica","BEL",64.2205595982372
1964,"Bélgica","BEL",65.2996070726916
1965,"Bélgica","BEL",63.7821411874708
1966,"Bélgica","BEL",62.0933019663545
1967,"Bélgica","BEL",63.308817091323
1968,"Bélgica","BEL",63.3531720906673
1969,"Bélgica","BEL",66.0012399256045
1970,"Bélgica","BEL",70.5985474580516
1971,"Bélgica","BEL",71.6815610395999
1972,"Bélgica","BEL",72.1492090973479
1973,"Bélgica","BEL",72.9230884895872
1974,"Bélgica","BEL",76.6681883892566
1975,"Bélgica","BEL",76.4023732470334
1976,"Bélgica","BEL",77.3006134969325
1977,"Bélgica","BEL",75.0866040498554
1978,"Bélgica","BEL",73.772451000478
1979,"Bélgica","BEL",73.7720792013089
1980,"Bélgica","BEL",77.8764648272601
1981,"Bélgica","BEL",75.7253127495342
1982,"Bélgica","BEL",78.9832249229716
1983,"Bélgica","BEL",76.5004310630678
1984,"Bélgica","BEL",73.7124329716922
1985,"Bélgica","BEL",72.2920388819913
1986,"Bélgica","BEL",71.5539143279173
1987,"Bélgica","BEL",71.3273826662828
1988,"Bélgica","BEL",72.2332208683044
1989,"Bélgica","BEL",72.6139949940146
1990,"Bélgica","BEL",74.1225461035098
1991,"Bélgica","BEL",76.3721383221233
1992,"Bélgica","BEL",75.7232742692796
1993,"Bélgica","BEL",73.7714960916515
1994,"Bélgica","BEL",73.9719470024032
1995,"Bélgica","BEL",74.5611088485051
1996,"Bélgica","BEL",73.7893331368306
1997,"Bélgica","BEL",74.0467533681183
1998,"Bélgica","BEL",73.087364020581
1999,"Bélgica","BEL",73.0702286169714
2000,"Bélgica","BEL",73.4852113757835
2001,"Bélgica","BEL",73.9424893763632
2002,"Bélgica","BEL",74.3947469506169
2003,"Bélgica","BEL",73.3459423416049
2004,"Bélgica","BEL",73.7025157246633
2005,"Bélgica","BEL",73.1820717130178
2006,"Bélgica","BEL",73.3848385197174
2007,"Bélgica","BEL",74.8164400981267
2008,"Bélgica","BEL",75.8165739796517
2009,"Bélgica","BEL",76.3599777899667
2010,"Bélgica","BEL",76.6017657741166
2011,"Bélgica","BEL",76.758933064922
2012,"Bélgica","BEL",75.2192721355717
2013,"Bélgica","BEL",74.193421544148
2014,"Bélgica","BEL",73.9934964385259
2015,"Bélgica","BEL",73.337643323002
2016,"Bélgica","BEL",73.1227011223239
2017,"Bélgica","BEL",72.8638924012755
2018,"Bélgica","BEL",71.8467341327242
2019,"Bélgica","BEL",71.7997619732323
2020,"Bélgica","BEL",70.0508561498389
2021,"Bélgica","BEL",70.3022407545006
2022,"Bélgica","BEL",70.9929437730323
1900,"Bolivia","BOL",18.1895744824009
1901,"Bolivia","BOL",17.2512809959797
1902,"Bolivia","BOL",16.8351176408542
1903,"Bolivia","BOL",16.3062661245262
1904,"Bolivia","BOL",16.8520033061322
1905,"Bolivia","BOL",16.5545997010086
1906,"Bolivia","BOL",15.6511257067155
1907,"Bolivia","BOL",15.7579324306289
1908,"Bolivia","BOL",18.0036130530258
1909,"Bolivia","BOL",16.8501744114026
1910,"Bolivia","BOL",17.7860189388564
1911,"Bolivia","BOL",17.9131042941304
1912,"Bolivia","BOL",17.9119730322962
1913,"Bolivia","BOL",18.4211083849748
1914,"Bolivia","BOL",19.4473137721393
1915,"Bolivia","BOL",19.6198746961515
1916,"Bolivia","BOL",17.9900455750556
1917,"Bolivia","BOL",20.032596728121
1918,"Bolivia","BOL",18.7655679324924
1919,"Bolivia","BOL",18.7180969305157
1920,"Bolivia","BOL",19.0289950799753
1921,"Bolivia","BOL",19.1113471879573
1922,"Bolivia","BOL",20.0005688932322
1923,"Bolivia","BOL",18.1370782304951
1924,"Bolivia","BOL",18.6667886831168
1925,"Bolivia","BOL",19.2290927104246
1926,"Bolivia","BOL",18.518569747304
1927,"Bolivia","BOL",19.8484306562619
1928,"Bolivia","BOL",20.574498399936
1929,"Bolivia","BOL",20.2940625630434
1930,"Bolivia","BOL",21.3277589802758
1931,"Bolivia","BOL",20.5418137100127
1932,"Bolivia","BOL",22.4210848839656
1933,"Bolivia","BOL",24.2786467519397
1934,"Bolivia","BOL",24.2180426449513
1935,"Bolivia","BOL",22.4464024263878
1936,"Bolivia","BOL",21.1014136412431
1937,"Bolivia","BOL",21.0799392812706
1938,"Bolivia","BOL",23.0948997897753
1939,"Bolivia","BOL",22.2710608011716
1940,"Bolivia","BOL",22.215567338208
1941,"Bolivia","BOL",20.8287193913392
1942,"Bolivia","BOL",19.2335353409346
1943,"Bolivia","BOL",18.2053608635056
1944,"Bolivia","BOL",16.98890768752
1945,"Bolivia","BOL",18.0002468936862
1946,"Bolivia","BOL",19.5041763458271
1947,"Bolivia","BOL",19.5436591335318
1948,"Bolivia","BOL",20.2725189535639
1949,"Bolivia","BOL",21.7163571856841
1950,"Bolivia","BOL",19.757217847769
1951,"Bolivia","BOL",19.9007751937984
1952,"Bolivia","BOL",19.6849914862564
1953,"Bolivia","BOL",16.9592717384879
1954,"Bolivia","BOL",17.3691860465116
1955,"Bolivia","BOL",17.0063327576281
1956,"Bolivia","BOL",15.629131459447
1957,"Bolivia","BOL",14.7822589911525
1958,"Bolivia","BOL",15.2012274283017
1959,"Bolivia","BOL",14.0279329608939
1960,"Bolivia","BOL",14.1773273522734
1961,"Bolivia","BOL",14.0577716643741
1962,"Bolivia","BOL",13.8912310286678
1963,"Bolivia","BOL",14.0514502408527
1964,"Bolivia","BOL",13.7966601178782
1965,"Bolivia","BOL",13.4595605423095
1966,"Bolivia","BOL",13.3783123973545
1967,"Bolivia","BOL",13.6896944225549
1968,"Bolivia","BOL",13.9884344265755
1969,"Bolivia","BOL",13.9656953916098
1970,"Bolivia","BOL",14.4795058018199
1971,"Bolivia","BOL",14.4010822333361
1972,"Bolivia","BOL",14.1732903124262
1973,"Bolivia","BOL",14.1229982708067
1974,"Bolivia","BOL",14.6617971543788
1975,"Bolivia","BOL",15.4492217599014
1976,"Bolivia","BOL",15.5924310739892
1977,"Bolivia","BOL",15.317310096068
1978,"Bolivia","BOL",14.7783924059277
1979,"Bolivia","BOL",14.1139937894421
1980,"Bolivia","BOL",13.8462058018979
1981,"Bolivia","BOL",13.5081181793985
1982,"Bolivia","BOL",13.0640191715166
1983,"Bolivia","BOL",11.8873930632005
1984,"Bolivia","BOL",11.1017583239805
1985,"Bolivia","BOL",10.5259970323714
1986,"Bolivia","BOL",9.76661742983752
1987,"Bolivia","BOL",9.58825223150014
1988,"Bolivia","BOL",9.44148565373784
1989,"Bolivia","BOL",9.27195559908586
1990,"Bolivia","BOL",9.46947163484939
1991,"Bolivia","BOL",9.90032898184531
1992,"Bolivia","BOL",9.64583212716442
1993,"Bolivia","BOL",9.71961122897773
1994,"Bolivia","BOL",9.70222465312954
1995,"Bolivia","BOL",9.81309093588428
1996,"Bolivia","BOL",9.79751476417625
1997,"Bolivia","BOL",9.77774872434092
1998,"Bolivia","BOL",9.76416260316901
1999,"Bolivia","BOL",9.30205614567851
2000,"Bolivia","BOL",9.09538129715775
2001,"Bolivia","BOL",9.08167494766669
2002,"Bolivia","BOL",9.06438433946105
2003,"Bolivia","BOL",8.97063679616087
2004,"Bolivia","BOL",8.93032197469929
2005,"Bolivia","BOL",8.95251051946053
2006,"Bolivia","BOL",9.07489575993353
2007,"Bolivia","BOL",9.25989555238535
2008,"Bolivia","BOL",9.79405117100598
2009,"Bolivia","BOL",10.342693224202
2010,"Bolivia","BOL",10.4365349254589
2011,"Bolivia","BOL",10.7317564167086
2012,"Bolivia","BOL",10.9358256935349
2013,"Bolivia","BOL",11.3815543715471
2014,"Bolivia","BOL",11.6270517187984
2015,"Bolivia","BOL",11.7890893879181
2016,"Bolivia","BOL",11.9871734414788
2017,"Bolivia","BOL",12.0748733425776
2018,"Bolivia","BOL",12.1004898977656
2019,"Bolivia","BOL",11.9781538228431
2020,"Bolivia","BOL",11.1794964818264
2021,"Bolivia","BOL",11.0702124489702
2022,"Bolivia","BOL",11.1141155253255
1900,"Brasil","BRA",10.8739316673176
1901,"Brasil","BRA",10.7179141680244
1902,"Brasil","BRA",10.6054332060374
1903,"Brasil","BRA",10.289276292568
1904,"Brasil","BRA",10.5959856404311
1905,"Brasil","BRA",10.1410627307503
1906,"Brasil","BRA",9.94978734108095
1907,"Brasil","BRA",9.76831015470109
1908,"Brasil","BRA",10.5281029301419
1909,"Brasil","BRA",10.1958353949068
1910,"Brasil","BRA",10.2731381268774
1911,"Brasil","BRA",11.0518923282593
1912,"Brasil","BRA",10.4444744821783
1913,"Brasil","BRA",10.348270338713
1914,"Brasil","BRA",11.0373674546229
1915,"Brasil","BRA",11.2175924291678
1916,"Brasil","BRA",10.1346858160727
1917,"Brasil","BRA",11.1167092727335
1918,"Brasil","BRA",9.94145354591582
1919,"Brasil","BRA",11.043294405836
1920,"Brasil","BRA",12.2329254085556
1921,"Brasil","BRA",12.8373678785522
1922,"Brasil","BRA",12.9973726923552
1923,"Brasil","BRA",12.1666555659745
1924,"Brasil","BRA",11.8633418689042
1925,"Brasil","BRA",11.6414936278597
1926,"Brasil","BRA",11.152351461172
1927,"Brasil","BRA",11.8448913396478
1928,"Brasil","BRA",13.0293512787371
1929,"Brasil","BRA",12.2550707563308
1930,"Brasil","BRA",12.6227420532101
1931,"Brasil","BRA",13.0299543827237
1932,"Brasil","BRA",15.6553823138706
1933,"Brasil","BRA",17.233614659642
1934,"Brasil","BRA",16.9722442738082
1935,"Brasil","BRA",15.3085910703666
1936,"Brasil","BRA",15.0548650687075
1937,"Brasil","BRA",14.2539698625979
1938,"Brasil","BRA",15.6087701993422
1939,"Brasil","BRA",14.5639131525346
1940,"Brasil","BRA",13.410972408892
1941,"Brasil","BRA",12.417546842233
1942,"Brasil","BRA",10.6524195734407
1943,"Brasil","BRA",10.9842748810268
1944,"Brasil","BRA",10.5004155894125
1945,"Brasil","BRA",10.8754020342163
1946,"Brasil","BRA",13.0477610006328
1947,"Brasil","BRA",13.6672854004963
1948,"Brasil","BRA",14.2253765405658
1949,"Brasil","BRA",15.524765240755
1950,"Brasil","BRA",14.6719160104987
